   DEPTH     ILD     GR      RHOB     DT
 1510.7500 12.2510 103.3300  2.2760 108.9620
 1510.8000 12.2970 103.3300  2.2810 108.9620
 1510.8500 12.2970 106.4960  2.2860 108.6980
 1510.9000 12.4240 106.4960  2.2920 108.6980
 1510.9500 12.2970 106.4960  2.2990 108.6980
 1511.0000 12.3200 109.5840  2.3070 109.1450
 1511.0500 12.2970 109.5840  2.3130 109.1450
 1511.1000 12.3320 109.5840  2.3150 109.1450
 1511.1500 12.2970 109.4480  2.3140 108.9360
 1511.2000 12.2740 109.4480  2.3110 108.9360
 1511.2500 12.2740 109.4480  2.3060 108.9360
 1511.3000 12.3430 105.5390  2.3010 107.3340
 1511.3500 12.2860 105.5390  2.2940 107.3340
 1511.4000 12.2510 105.5390  2.2880 107.3340
 1511.4500 12.2740 102.6600  2.2830 107.7050
 1511.5000 12.2740 102.6600  2.2800 107.7050
 1511.5500 12.2970 102.6600  2.2790 107.7050
 1511.6000 12.3200 102.0320  2.2800 108.0810
 1511.6500 12.3430 102.0320  2.2810 108.0810
 1511.7000 12.3200 102.0320  2.2840 108.0810
 1511.7500 12.3430 105.1890  2.2890 107.8130
 1511.8000 12.2630 105.1890  2.2940 107.8130
 1511.8500 12.2400 105.1890  2.2970 107.8130
 1511.9000 12.2510 103.7240  2.2990 108.9870
 1511.9500 12.2510 103.7240  2.2980 108.9870
 1512.0000 12.2280 103.7240  2.2950 108.9870
 1512.0500 12.2280 104.1170  2.2910 107.6130
 1512.1000 12.2280 104.1170  2.2870 107.6130
 1512.1500 12.2280 104.1170  2.2840 107.6130
 1512.2000 12.2970 99.6350  2.2810 108.0180
 1512.2500 12.3200 99.6350  2.2780 108.0180
 1512.3000 12.3200 99.6350  2.2740 108.0180
 1512.3500 12.2970 99.4420  2.2710 108.0520
 1512.4000 12.2510 99.4420  2.2710 108.0520
 1512.4500 12.2740 99.4420  2.2730 108.0520
 1512.5000 12.2740 99.9640  2.2740 108.4160
 1512.5500 12.2970 99.9640  2.2760 108.4160
 1512.6000 12.3320 99.9640  2.2760 108.4160
 1512.6500 12.2970 97.6750  2.2760 109.0810
 1512.7000 12.2970 97.6750  2.2780 109.0810
 1512.7500 12.3430 97.6750  2.2840 109.0810
 1512.8000 12.2970 101.7110  2.2940 108.4030
 1512.8500 12.2970 101.7110  2.3040 108.4030
 1512.9000 12.2970 101.7110  2.3040 108.4030
 1512.9500 12.3430 101.7110  2.3130 108.4030
 1513.0000 12.2970 103.5410  2.3180 109.0460
 1513.0500 12.3200 103.5410  2.3180 109.0460
 1513.1000 12.3200 103.5410  2.3190 109.0460
 1513.1500 12.4120 107.3760  2.3200 109.1700
 1513.2000 12.7350 107.3760  2.3230 109.1700
 1513.2500 12.5390 107.3760  2.3250 109.1700
 1513.3000 12.3890 105.2080  2.3210 109.7470
 1513.3500 12.3660 105.2080  2.3170 109.7470
 1513.4000 12.3890 105.2080  2.3130 109.7470
 1513.4500 12.5510 103.7850  2.3140 108.8310
 1513.5000 12.3430 103.7850  2.3180 108.8310
 1513.5500 12.3550 103.7850  2.3200 108.8310
 1513.6000 12.3550 108.1000  2.3200 108.4370
 1513.6500 12.3660 108.1000  2.3170 108.4370
 1513.7000 12.3660 108.1000  2.3130 108.4370
 1513.7500 12.3660 106.6350  2.3090 112.4120
 1513.8000 12.4010 106.6350  2.3040 112.4120
 1513.8500 12.4120 106.6350  2.2990 112.4120
 1513.9000 12.2740 110.1640  2.2940 111.6090
 1513.9500 12.2740 110.1640  2.2900 111.6090
 1514.0000 12.2740 110.1640  2.2880 111.6090
 1514.0500 12.2740 104.9290  2.2890 110.0760
 1514.1000 12.2740 104.9290  2.2900 110.0760
 1514.1500 12.2740 104.9290  2.2930 110.0760
 1514.2000 12.2740 106.0920  2.2950 109.4790
 1514.2500 12.2970 106.0920  2.2980 109.4790
 1514.3000 12.2740 106.0920  2.3000 109.4790
 1514.3500 12.2860 106.4760  2.3010 105.2480
 1514.4000 12.2740 106.4760  2.3020 105.2480
 1514.4500 12.2740 106.4760  2.3010 105.2480
 1514.5000 12.2740 109.5230  2.3000 105.6580
 1514.5500 12.2740 109.5230  2.2970 105.6580
 1514.6000 12.2740 109.5230  2.2940 105.6580
 1514.6500 12.2740 113.0360  2.2910 106.9610
 1514.7000 12.2970 113.0360  2.2870 106.9610
 1514.7500 12.2970 113.0360  2.2860 106.9610
 1514.8000 12.3200 107.5650  2.2840 109.5900
 1514.8500 12.3430 107.5650  2.2830 109.5900
 1514.9000 12.3320 107.5650  2.2820 109.5900
 1514.9500 12.3090 113.1550  2.2810 107.9500
 1515.0000 12.2970 113.1550  2.2810 107.9500
 1515.0500 12.3200 113.1550  2.2810 107.9500
 1515.1000 12.3430 111.4100  2.2820 108.6380
 1515.1500 12.4010 111.4100  2.2840 108.6380
 1515.2000 12.7810 111.4100  2.2850 108.6380
 1515.2500 12.3430 117.0540  2.2870 108.5550
 1515.3000 12.3090 117.0540  2.2880 108.5550
 1515.3500 12.2630 117.0540  2.2900 108.5550
 1515.4000 12.2740 113.0240  2.2920 107.0470
 1515.4500 12.2740 113.0240  2.2920 107.0470
 1515.5000 12.2970 113.0240  2.2930 107.0470
 1515.5500 12.3200 109.3980  2.2930 106.7220
 1515.6000 12.3320 109.3980  2.2940 106.7220
 1515.6500 12.3660 109.3980  2.2960 106.7220
 1515.7000 12.3890 103.7820  2.2980 107.3500
 1515.7500 12.4120 103.7820  2.3000 107.3500
 1515.8000 12.4820 103.7820  2.2980 107.3500
 1515.8500 12.4820 96.7150  2.2960 107.8140
 1515.9000 12.4700 96.7150  2.2980 107.8140
 1515.9500 12.4590 96.7150  2.3040 107.8140
 1516.0000 12.4360 99.2940  2.3100 108.6520
 1516.0500 12.6200 99.2940  2.3140 108.6520
 1516.1000 12.4470 99.2940  2.3140 108.6520
 1516.1500 12.3660 99.2940  2.3130 108.6520
 1516.2000 12.3200 99.0800  2.3080 109.4290
 1516.2500 12.2970 99.0800  2.3050 109.4290
 1516.3000 12.2740 99.0800  2.3070 109.4290
 1516.3500 12.2510 105.3090  2.3120 108.4050
 1516.4000 12.2740 105.3090  2.3160 108.4050
 1516.4500 12.2970 105.3090  2.3160 108.4050
 1516.5000 12.2740 105.5980  2.3140 108.7400
 1516.5500 12.2740 105.5980  2.3100 108.7400
 1516.6000 12.2280 105.5980  2.3070 108.7400
 1516.6500 12.2630 106.5300  2.3050 108.6200
 1516.7000 12.6660 106.5300  2.3020 108.6200
 1516.7500 12.2970 106.5300  2.2990 108.6200
 1516.8000 12.2510 109.3120  2.2960 108.5410
 1516.8500 12.2510 109.3120  2.2920 108.5410
 1516.9000 12.2510 109.3120  2.2880 108.5410
 1516.9500 12.2510 111.1160  2.2850 108.3750
 1517.0000 12.2510 111.1160  2.2850 108.3750
 1517.0500 12.2280 111.1160  2.2900 108.3750
 1517.1000 12.3090 108.5860  2.2980 108.2650
 1517.1500 12.5510 108.5860  2.3050 108.2650
 1517.2000 12.3430 108.5860  2.3090 108.2650
 1517.2500 12.2970 102.2450  2.3110 108.0230
 1517.3000 12.2280 102.2450  2.3120 108.0230
 1517.3500 12.2400 102.2450  2.3130 108.0230
 1517.4000 12.2280 100.3590  2.3140 108.3240
 1517.4500 12.2050 100.3590  2.3140 108.3240
 1517.5000 12.2050 100.3590  2.3120 108.3240
 1517.5500 12.2050 105.3110  2.3070 109.6600
 1517.6000 12.2170 105.3110  2.3010 109.6600
 1517.6500 12.2510 105.3110  2.2950 109.6600
 1517.7000 12.4590 104.3130  2.2890 110.8700
 1517.7500 12.2510 104.3130  2.2840 110.8700
 1517.8000 12.2280 104.3130  2.2790 110.8700
 1517.8500 12.2280 108.7120  2.2740 112.2700
 1517.9000 12.2630 108.7120  2.2690 112.2700
 1517.9500 12.2970 108.7120  2.2650 112.2700
