   DEPTH     ILD     GR      RHOB     DT
 1897.1500 12.2280 105.4710  2.3630 98.7820
 1897.2000 12.2050 105.6570  2.3650 98.8960
 1897.2500 12.2280 105.6570  2.3670 98.8960
 1897.3000 12.2280 105.6570  2.3660 98.8960
 1897.3500 12.2280 101.4700  2.3640 98.8020
 1897.4000 12.2050 101.4700  2.3630 98.8020
 1897.4500 12.2280 101.4700  2.3650 98.8020
 1897.5000 12.2170 102.1010  2.3710 98.8570
 1897.5500 12.2050 102.1010  2.3800 98.8570
 1897.6000 12.1940 102.1010  2.3910 98.8570
 1897.6500 12.1940 104.1440  2.4030 98.4590
 1897.7000 12.1940 104.1440  2.4130 98.4590
 1897.7500 12.1820 104.1440  2.4230 98.4590
 1897.8000 12.1820 107.0750  2.4310 98.1690
 1897.8500 12.1820 107.0750  2.4390 98.1690
 1897.9000 12.1820 107.0750  2.4440 98.1690
 1897.9500 12.1940 106.7040  2.4430 97.8650
 1898.0000 12.2050 106.7040  2.4380 97.8650
 1898.0500 12.1820 106.7040  2.4290 97.8650
 1898.1000 12.2050 110.5500  2.4190 97.8110
 1898.1500 12.2050 110.5500  2.4110 97.8110
 1898.2000 12.2050 110.5500  2.4040 97.8110
 1898.2500 12.1820 107.1070  2.3970 97.9020
 1898.3000 12.1940 107.1070  2.3900 97.9020
 1898.3500 12.1940 107.1070  2.3850 97.9020
 1898.4000 12.1940 111.4110  2.3810 97.5620
 1898.4500 12.1940 111.4110  2.3780 97.5620
 1898.5000 12.2050 111.4110  2.3760 97.5620
 1898.5500 12.1820 103.4790  2.3730 98.1160
 1898.6000 12.2050 103.4790  2.3690 98.1160
 1898.6500 12.2170 103.4790  2.3670 98.1160
 1898.7000 12.1820 106.2940  2.3650 98.0370
 1898.7500 12.1820 106.2940  2.3620 98.0370
 1898.8000 12.2050 106.2940  2.3600 98.0370
 1898.8500 12.2050 101.6180  2.3570 98.1050
 1898.9000 12.1820 101.6180  2.3550 98.1050
 1898.9500 12.1820 101.6180  2.3540 98.1050
 1899.0000 12.1590 105.3330  2.3520 97.7710
 1899.0500 12.1820 105.3330  2.3500 97.7710
 1899.1000 12.1590 105.3330  2.3480 97.7710
 1899.1500 12.1360 100.3080  2.3460 97.7650
 1899.2000 12.1480 100.3080  2.3460 97.7650
 1899.2500 12.1480 100.3080  2.3480 97.7650
 1899.3000 12.1480 98.0790  2.3490 97.7550
 1899.3500 12.1590 98.0790  2.3510 97.7550
 1899.4000 12.1590 98.0790  2.3530 97.7550
 1899.4500 12.1480 93.9120  2.3560 97.8590
 1899.5000 12.1590 93.9120  2.3590 97.8590
 1899.5500 12.1710 93.9120  2.3640 97.8590
 1899.6000 12.1590 96.0060  2.3690 98.0520
 1899.6500 12.1590 96.0060  2.3720 98.0520
 1899.7000 12.1590 96.0060  2.3720 98.0520
 1899.7500 12.1480 99.1630  2.3720 98.1030
 1899.8000 12.1480 99.1630  2.3710 98.1030
 1899.8500 12.1360 99.1630  2.3700 98.1030
 1899.9000 12.1480 101.6590  2.3690 97.9650
 1899.9500 12.1590 101.6590  2.3680 97.9650
 1900.0000 12.1590 101.6590  2.3660 97.9650
 1900.0500 12.1590 108.7770  2.3640 97.8910
 1900.1000 12.1590 108.7770  2.3620 97.8910
 1900.1500 12.1590 108.7770  2.3620 97.8910
 1900.2000 12.1360 107.7740  2.3630 98.1870
 1900.2500 12.1590 107.7740  2.3630 98.1870
 1900.3000 12.1590 107.7740  2.3660 98.1870
 1900.3500 12.1590 107.7740  2.3690 98.1870
 1900.4000 12.1590 110.0590  2.3710 98.6910
 1900.4500 12.1590 110.0590  2.3720 98.6910
 1900.5000 12.1590 110.0590  2.3720 98.6910
 1900.5500 12.1820 102.0500  2.3730 98.6510
 1900.6000 12.1360 102.0500  2.3770 98.6510
 1900.6500 12.1360 102.0500  2.3800 98.6510
 1900.7000 12.1590 101.7540  2.3840 98.7000
 1900.7500 12.1480 101.7540  2.3850 98.7000
 1900.8000 12.1360 101.7540  2.3860 98.7000
 1900.8500 12.1360 99.2830  2.3890 98.6860
 1900.9000 12.1480 99.2830  2.3920 98.6860
 1900.9500 12.1590 99.2830  2.3960 98.6860
 1901.0000 12.1360 102.2650  2.3970 98.7640
 1901.0500 12.1480 102.2650  2.3960 98.7640
 1901.1000 12.1590 102.2650  2.3940 98.7640
 1901.1500 12.1590 107.7950  2.3920 99.3180
 1901.2000 12.1590 107.7950  2.3940 99.3180
 1901.2500 12.1820 107.7950  2.3990 99.3180
 1901.3000 12.1820 110.3300  2.4070 99.3440
 1901.3500 12.1590 110.3300  2.4160 99.3440
 1901.4000 12.1710 110.3300  2.4250 99.3440
 1901.4500 12.1820 109.0970  2.4330 98.4920
 1901.5000 12.1820 109.0970  2.4390 98.4920
 1901.5500 12.1590 109.0970  2.4450 98.4920
 1901.6000 12.1820 100.6580  2.4480 98.7800
 1901.6500 12.1820 100.6580  2.4470 98.7800
 1901.7000 12.2050 100.6580  2.4400 98.7800
 1901.7500 12.1820 102.7660  2.4280 99.4060
 1901.8000 12.1360 102.7660  2.4150 99.4060
 1901.8500 12.1480 102.7660  2.4020 99.4060
 1901.9000 12.1360 104.6290  2.3910 99.6310
 1901.9500 12.1250 104.6290  2.3830 99.6310
 1902.0000 12.1130 104.6290  2.3760 99.6310
 1902.0500 12.1130 106.7950  2.3720 99.7210
 1902.1000 12.1130 106.7950  2.3690 99.7210
 1902.1500 12.0900 106.7950  2.3700 99.7210
 1902.2000 12.1130 108.4670  2.3710 99.9170
 1902.2500 12.1130 108.4670  2.3720 99.9170
 1902.3000 12.1360 108.4670  2.3720 99.9170
 1902.3500 12.1360 111.9360  2.3720 99.8060
 1902.4000 12.1480 111.9360  2.3720 99.8060
 1902.4500 12.1590 111.9360  2.3720 99.8060
 1902.5000 12.1590 116.0510  2.3710 99.9210
 1902.5500 12.1820 116.0510  2.3680 99.9210
 1902.6000 12.1820 116.0510  2.3650 99.9210
 1902.6500 12.1820 110.4790  2.3640 99.6590
 1902.7000 12.1820 110.4790  2.3630 99.6590
 1902.7500 12.1820 110.4790  2.3640 99.6590
 1902.8000 12.1820 107.0040  2.3650 99.4030
 1902.8500 12.1820 107.0040  2.3660 99.4030
 1902.9000 12.1820 107.0040  2.3670 99.4030
 1902.9500 12.1590 106.1670  2.3690 98.8850
 1903.0000 12.1590 106.1670  2.3720 98.8850
 1903.0500 12.1360 106.1670  2.3750 98.8850
 1903.1000 12.1360 104.4180  2.3770 98.8230
 1903.1500 12.1250 104.4180  2.3770 98.8230
 1903.2000 12.1130 104.4180  2.3740 98.8230
 1903.2500 12.1360 104.0470  2.3710 98.4220
 1903.3000 12.1360 104.0470  2.3680 98.4220
 1903.3500 12.1590 104.0470  2.3660 98.4220
 1903.4000 12.1590 104.2980  2.3660 98.0790
 1903.4500 12.1820 104.2980  2.3660 98.0790
 1903.5000 12.1820 104.2980  2.3660 98.0790
 1903.5500 12.2050 104.2980  2.3660 98.0790
 1903.6000 12.2050 107.4910  2.3670 97.5890
 1903.6500 12.1940 107.4910  2.3690 97.5890
 1903.7000 12.1940 107.4910  2.3730 97.5890
 1903.7500 12.1820 107.8620  2.3750 97.9810
 1903.8000 12.2050 107.8620  2.3750 97.9810
 1903.8500 12.2050 107.8620  2.3720 97.9810
 1903.9000 12.2050 106.5640  2.3680 96.2430
 1903.9500 12.1940 106.5640  2.3650 96.2430
 1904.0000 12.1940 106.5640  2.3610 96.2430
 1904.0500 12.1820 108.2770  2.3560 95.4280
 1904.1000 12.1590 108.2770  2.3500 95.4280
 1904.1500 12.1590 108.2770  2.3440 95.4280
 1904.2000 12.1590 111.5660  2.3390 95.4660
 1904.2500 12.1480 111.5660  2.3370 95.4660
 1904.3000 12.1360 111.5660  2.3360 95.4660
 1904.3500 12.1360 111.0070  2.3350 96.6050
 1904.4000 12.1130 111.0070  2.3340 96.6050
 1904.4500 12.1360 111.0070  2.3330 96.6050
 1904.5000 12.1820 108.0370  2.3320 97.1820
 1904.5500 12.1820 108.0370  2.3330 97.1820
 1904.6000 12.1820 108.0370  2.3350 97.1820
 1904.6500 12.1820 105.4920  2.3380 97.8000
 1904.7000 12.1590 105.4920  2.3410 97.8000
 1904.7500 12.1590 105.4920  2.3420 97.8000
 1904.8000 12.1590 106.2340  2.3430 97.7570
 1904.8500 12.1590 106.2340  2.3440 97.7570
 1904.9000 12.1590 106.2340  2.3460 97.7570
 1904.9500 12.1590 105.1880  2.3490 97.5140
 1905.0000 12.1820 105.1880  2.3490 97.5140
 1905.0500 12.1820 105.1880  2.3480 97.5140
 1905.1000 12.2280 99.9870  2.3460 97.1990
 1905.1500 12.2050 99.9870  2.3440 97.1990
 1905.2000 12.1940 99.9870  2.3430 97.1990
 1905.2500 12.1820 97.8670  2.3440 95.8050
 1905.3000 12.1710 97.8670  2.3450 95.8050
 1905.3500 12.1360 97.8670  2.3440 95.8050
 1905.4000 12.1590 97.5330  2.3440 95.0050
 1905.4500 12.1360 97.5330  2.3450 95.0050
 1905.5000 12.1360 97.5330  2.3490 95.0050
 1905.5500 12.1360 97.4530  2.3530 95.2090
 1905.6000 12.1480 97.4530  2.3560 95.2090
 1905.6500 12.1360 97.4530  2.3580 95.2090
 1905.7000 12.1360 100.5020  2.3600 95.3150
 1905.7500 12.1360 100.5020  2.3610 95.3150
 1905.8000 12.1360 100.5020  2.3620 95.3150
 1905.8500 12.1360 104.3950  2.3620 95.3620
 1905.9000 12.1360 104.3950  2.3600 95.3620
 1905.9500 12.1590 104.3950  2.3570 95.3620
 1906.0000 12.1590 108.9330  2.3550 95.3530
 1906.0500 12.1590 108.9330  2.3540 95.3530
 1906.1000 12.1590 108.9330  2.3540 95.3530
 1906.1500 12.1590 108.6790  2.3520 95.0800
 1906.2000 12.1590 108.6790  2.3510 95.0800
 1906.2500 12.1710 108.6790  2.3500 95.0800
 1906.3000 12.1710 105.3290  2.3490 95.6460
 1906.3500 12.1590 105.3290  2.3470 95.6460
 1906.4000 12.1820 105.3290  2.3450 95.6460
 1906.4500 12.1590 105.3290  2.3420 95.9020
 1906.5000 12.1590 105.3290  2.3390 95.9020
 1906.5500 12.1590 105.3290  2.3370 95.9020
 1906.6000 12.1590 105.3290  2.3370 95.9020
 1906.6500 12.1590 110.7830  2.3370 95.5680
 1906.7000 12.1360 110.7830  2.3380 95.5680
 1906.7500 12.1360 110.7830  2.3400 95.5680
 1906.8000 12.1360 108.4800  2.3430 96.3060
 1906.8500 12.1130 108.4800  2.3480 96.3060
 1906.9000 12.1250 108.4800  2.3530 96.3060
 1906.9500 12.1250 102.7220  2.3560 95.7240
 1907.0000 12.1130 102.7220  2.3560 95.7240
 1907.0500 12.1360 102.7220  2.3540 95.7240
 1907.1000 12.1130 96.7090  2.3500 96.0000
 1907.1500 12.1130 96.7090  2.3470 96.0000
 1907.2000 12.1130 96.7090  2.3450 96.0000
 1907.2500 12.1360 101.7050  2.3450 95.8750
 1907.3000 12.1360 101.7050  2.3440 95.8750
 1907.3500 12.1480 101.7050  2.3410 95.8750
 1907.4000 12.1590 103.2810  2.3380 95.9200
 1907.4500 12.1590 103.2810  2.3360 95.9200
 1907.5000 12.1820 103.2810  2.3360 95.9200
 1907.5500 12.1590 99.6360  2.3360 96.0550
 1907.6000 12.1590 99.6360  2.3340 96.0550
 1907.6500 12.1590 99.6360  2.3310 96.0550
 1907.7000 12.1360 94.2500  2.3270 96.5590
 1907.7500 12.1360 94.2500  2.3250 96.5590
 1907.8000 12.1360 94.2500  2.3260 96.5590
 1907.8500 12.1360 101.7880  2.3310 96.4070
 1907.9000 12.1360 101.7880  2.3350 96.4070
 1907.9500 12.1360 101.7880  2.3390 96.4070
 1908.0000 12.1130 107.1730  2.3430 96.7410
 1908.0500 12.1360 107.1730  2.3460 96.7410
 1908.1000 12.1360 107.1730  2.3490 96.7410
 1908.1500 12.1360 109.6990  2.3500 96.8030
 1908.2000 12.1130 109.6990  2.3490 96.8030
 1908.2500 12.1360 109.6990  2.3460 96.8030
 1908.3000 12.1360 110.5950  2.3420 96.2650
 1908.3500 12.1360 110.5950  2.3380 96.2650
 1908.4000 12.1360 110.5950  2.3360 96.2650
 1908.4500 12.1130 105.3130  2.3340 96.1920
 1908.5000 12.1360 105.3130  2.3320 96.1920
 1908.5500 12.1360 105.3130  2.3300 96.1920
 1908.6000 12.1360 108.1730  2.3280 96.4060
 1908.6500 12.1250 108.1730  2.3270 96.4060
 1908.7000 12.1360 108.1730  2.3280 96.4060
 1908.7500 12.1130 98.4840  2.3300 96.8440
 1908.8000 12.1360 98.4840  2.3330 96.8440
 1908.8500 12.1360 98.4840  2.3360 96.8440
 1908.9000 12.1360 105.4370  2.3370 96.3020
 1908.9500 12.1360 105.4370  2.3380 96.3020
 1909.0000 12.1590 105.4370  2.3400 96.3020
 1909.0500 12.1360 106.1180  2.3410 96.4680
 1909.1000 12.1360 106.1180  2.3420 96.4680
 1909.1500 12.1360 106.1180  2.3420 96.4680
 1909.2000 12.1590 105.0710  2.3410 96.0990
 1909.2500 12.1360 105.0710  2.3400 96.0990
 1909.3000 12.1480 105.0710  2.3400 96.0990
 1909.3500 12.1480 104.1420  2.3400 96.4530
 1909.4000 12.1360 104.1420  2.3410 96.4530
 1909.4500 12.1360 104.1420  2.3410 96.4530
 1909.5000 12.1590 102.2350  2.3430 95.8990
 1909.5500 12.1590 102.2350  2.3460 95.8990
 1909.6000 12.1590 102.2350  2.3500 95.8990
 1909.6500 12.1590 104.6340  2.3540 97.0750
 1909.7000 12.1820 104.6340  2.3570 97.0750
 1909.7500 12.1710 104.6340  2.3600 97.0750
 1909.8000 12.1710 104.6340  2.3600 97.0750
 1909.8500 12.1710 101.1050  2.3620 96.8740
 1909.9000 12.1590 101.1050  2.3650 96.8740
 1909.9500 12.1820 101.1050  2.3700 96.8740
 1910.0000 12.1820 103.4080  2.3750 97.1130
 1910.0500 12.1820 103.4080  2.3790 97.1130
 1910.1000 12.1820 103.4080  2.3790 97.1130
 1910.1500 12.1590 106.0080  2.3780 97.6860
 1910.2000 12.1590 106.0080  2.3760 97.6860
 1910.2500 12.1590 106.0080  2.3770 97.6860
 1910.3000 12.1710 104.6300  2.3790 97.7270
 1910.3500 12.1820 104.6300  2.3820 97.7270
 1910.4000 12.1820 104.6300  2.3830 97.7270
 1910.4500 12.1820 99.2830  2.3820 97.8690
 1910.5000 12.1820 99.2830  2.3830 97.8690
 1910.5500 12.1820 99.2830  2.3870 97.8690
 1910.6000 12.1820 100.2110  2.3900 97.8200
 1910.6500 12.1820 100.2110  2.3910 97.8200
 1910.7000 12.1820 100.2110  2.3880 97.8200
 1910.7500 12.1820 103.5910  2.3850 97.6650
 1910.8000 12.1820 103.5910  2.3820 97.6650
 1910.8500 12.1820 103.5910  2.3820 97.6650
 1910.9000 12.1820 105.4480  2.3810 97.6210
 1910.9500 12.1820 105.4480  2.3790 97.6210
 1911.0000 12.1820 105.4480  2.3740 97.6210
 1911.0500 12.1940 105.1940  2.3700 97.6310
 1911.1000 12.2050 105.1940  2.3680 97.6310
 1911.1500 12.2050 105.1940  2.3690 97.6310
 1911.2000 12.2050 104.2260  2.3700 97.7250
 1911.2500 12.1820 104.2260  2.3690 97.7250
 1911.3000 12.1820 104.2260  2.3660 97.7250
 1911.3500 12.1820 106.9480  2.3620 97.6780
 1911.4000 12.1590 106.9480  2.3600 97.6780
 1911.4500 12.1590 106.9480  2.3600 97.6780
 1911.5000 12.1590 106.3780  2.3610 98.0860
 1911.5500 12.1590 106.3780  2.3630 98.0860
 1911.6000 12.1590 106.3780  2.3630 98.0860
 1911.6500 12.1360 108.9980  2.3610 97.7090
 1911.7000 12.1590 108.9980  2.3590 97.7090
 1911.7500 12.1360 108.9980  2.3590 97.7090
 1911.8000 12.1360 108.5040  2.3610 97.9320
 1911.8500 12.1480 108.5040  2.3630 97.9320
 1911.9000 12.1360 108.5040  2.3640 97.9320
 1911.9500 12.1480 109.6340  2.3630 98.3870
 1912.0000 12.1360 109.6340  2.3620 98.3870
 1912.0500 12.1360 109.6340  2.3610 98.3870
 1912.1000 12.1360 110.2850  2.3610 97.8950
 1912.1500 12.1480 110.2850  2.3610 97.8950
 1912.2000 12.1360 110.2850  2.3600 97.8950
 1912.2500 12.1250 111.9560  2.3610 98.4560
 1912.3000 12.1480 111.9560  2.3580 98.4560
 1912.3500 12.1590 111.9560  2.3570 98.4560
 1912.4000 12.1590 117.5940  2.3560 98.7920
 1912.4500 12.1360 117.5940  2.3550 98.7920
 1912.5000 12.1590 117.5940  2.3580 98.7920
 1912.5500 12.1250 115.5000  2.3630 99.2890
 1912.6000 12.1250 115.5000  2.3660 99.2890
 1912.6500 12.1360 115.5000  2.3670 99.2890
 1912.7000 12.1360 113.2720  2.3650 99.6170
 1912.7500 12.1360 113.2720  2.3660 99.6170
 1912.8000 12.1590 113.2720  2.3680 99.6170
 1912.8500 12.1590 110.9880  2.3700 99.8850
 1912.9000 12.1590 110.9880  2.3710 99.8850
 1912.9500 12.1590 110.9880  2.3710 99.8850
 1913.0000 12.1820 110.9880  2.3700 99.8850
 1913.0500 12.1820 114.4000  2.3680 100.2750
 1913.1000 12.1820 114.4000  2.3670 100.2750
 1913.1500 12.2050 114.4000  2.3690 100.2750
 1913.2000 12.2050 110.4190  2.3720 100.1880
 1913.2500 12.2280 110.4190  2.3740 100.1880
 1913.3000 12.2050 110.4190  2.3730 100.1880
 1913.3500 12.2050 110.3160  2.3700 100.4080
 1913.4000 12.1820 110.3160  2.3680 100.4080
 1913.4500 12.1820 110.3160  2.3670 100.4080
 1913.5000 12.1820 102.7570  2.3650 101.1430
 1913.5500 12.1820 102.7570  2.3610 101.1430
 1913.6000 12.1820 102.7570  2.3550 101.1430
 1913.6500 12.1820 107.4800  2.3490 101.2860
 1913.7000 12.1940 107.4800  2.3440 101.2860
 1913.7500 12.1820 107.4800  2.3420 101.2860
 1913.8000 12.2050 104.2950  2.3410 100.5900
 1913.8500 12.1940 104.2950  2.3390 100.5900
 1913.9000 12.2050 104.2950  2.3380 100.5900
 1913.9500 12.1820 106.1590  2.3410 100.4600
 1914.0000 12.1820 106.1590  2.3460 100.4600
 1914.0500 12.2050 106.1590  2.3530 100.4600
 1914.1000 12.1820 108.3460  2.3610 100.0920
 1914.1500 12.1820 108.3460  2.3680 100.0920
 1914.2000 12.1820 108.3460  2.3730 100.0920
 1914.2500 12.1820 114.8020  2.3770 100.3640
 1914.3000 12.1820 114.8020  2.3790 100.3640
 1914.3500 12.1820 114.8020  2.3800 100.3640
 1914.4000 12.1820 120.2620  2.3790 99.9480
 1914.4500 12.1820 120.2620  2.3750 99.9480
 1914.5000 12.1820 120.2620  2.3700 99.9480
 1914.5500 12.1820 115.5910  2.3630 99.7600
 1914.6000 12.1590 115.5910  2.3580 99.7600
 1914.6500 12.1820 115.5910  2.3550 99.7600
 1914.7000 12.1710 109.8780  2.3540 99.2730
 1914.7500 12.1820 109.8780  2.3550 99.2730
 1914.8000 12.1590 109.8780  2.3550 99.2730
 1914.8500 12.1710 109.8430  2.3550 99.0890
 1914.9000 12.1590 109.8430  2.3550 99.0890
 1914.9500 12.1590 109.8430  2.3550 99.0890
 1915.0000 12.1590 111.9550  2.3560 98.6390
 1915.0500 12.1590 111.9550  2.3570 98.6390
 1915.1000 12.1360 111.9550  2.3600 98.6390
 1915.1500 12.1360 114.1270  2.3630 98.3760
 1915.2000 12.1360 114.1270  2.3660 98.3760
 1915.2500 12.1360 114.1270  2.3680 98.3760
 1915.3000 12.1480 107.2900  2.3690 98.7700
 1915.3500 12.1590 107.2900  2.3700 98.7700
 1915.4000 12.1590 107.2900  2.3710 98.7700
 1915.4500 12.1480 110.6220  2.3710 98.7990
 1915.5000 12.1590 110.6220  2.3690 98.7990
 1915.5500 12.1590 110.6220  2.3660 98.7990
 1915.6000 12.1590 103.4350  2.3610 98.7750
 1915.6500 12.1820 103.4350  2.3580 98.7750
 1915.7000 12.2050 103.4350  2.3560 98.7750
 1915.7500 12.2050 109.8790  2.3560 98.2950
 1915.8000 12.1940 109.8790  2.3560 98.2950
 1915.8500 12.1940 109.8790  2.3570 98.2950
 1915.9000 12.1940 104.1000  2.3570 97.6000
 1915.9500 12.2050 104.1000  2.3580 97.6000
 1916.0000 12.2050 104.1000  2.3580 97.6000
 1916.0500 12.2050 107.0010  2.3590 97.2490
 1916.1000 12.1590 107.0010  2.3590 97.2490
 1916.1500 12.1590 107.0010  2.3590 97.2490
 1916.2000 12.1360 107.0010  2.3600 97.2490
 1916.2500 12.1590 105.1620  2.3610 97.0420
 1916.3000 12.1590 105.1620  2.3610 97.0420
 1916.3500 12.1710 105.1620  2.3620 97.0420
 1916.4000 12.1710 108.8480  2.3620 96.7970
 1916.4500 12.1710 108.8480  2.3640 96.7970
 1916.5000 12.1710 108.8480  2.3670 96.7970
 1916.5500 12.1820 106.5040  2.3710 96.1960
 1916.6000 12.1820 106.5040  2.3750 96.1960
 1916.6500 12.2050 106.5040  2.3770 96.1960
 1916.7000 12.1820 105.1760  2.3800 95.8330
 1916.7500 12.2050 105.1760  2.3860 95.8330
 1916.8000 12.1820 105.1760  2.3970 95.8330
 1916.8500 12.2050 105.7960  2.4090 95.0020
 1916.9000 12.1940 105.7960  2.4220 95.0020
 1916.9500 12.2050 105.7960  2.4340 95.0020
 1917.0000 12.2280 105.0530  2.4450 93.9210
 1917.0500 12.2280 105.0530  2.4540 93.9210
 1917.1000 12.2280 105.0530  2.4620 93.9210
 1917.1500 12.2400 99.8330  2.4660 94.6580
 1917.2000 12.2510 99.8330  2.4670 94.6580
 1917.2500 12.2170 99.8330  2.4620 94.6580
 1917.3000 12.2050 100.7440  2.4550 95.8990
 1917.3500 12.2510 100.7440  2.4460 95.8990
 1917.4000 12.2280 100.7440  2.4340 95.8990
 1917.4500 12.2280 102.7120  2.4210 96.9250
 1917.5000 12.2050 102.7120  2.4070 96.9250
 1917.5500 12.2050 102.7120  2.3940 96.9250
 1917.6000 12.2050 105.2110  2.3830 97.9550
 1917.6500 12.1820 105.2110  2.3730 97.9550
 1917.7000 12.1480 105.2110  2.3640 97.9550
 1917.7500 12.1480 105.5660  2.3550 98.4720
 1917.8000 12.1360 105.5660  2.3470 98.4720
 1917.8500 12.1590 105.5660  2.3430 98.4720
 1917.9000 12.1590 107.8690  2.3400 99.4800
 1917.9500 12.1360 107.8690  2.3390 99.4800
 1918.0000 12.1360 107.8690  2.3380 99.4800
 1918.0500 12.1590 109.0970  2.3380 99.4510
 1918.1000 12.1590 109.0970  2.3360 99.4510
 1918.1500 12.1710 109.0970  2.3370 99.4510
 1918.2000 12.2050 99.6750  2.3390 99.1600
 1918.2500 12.2050 99.6750  2.3420 99.1600
 1918.3000 12.1820 99.6750  2.3450 99.1600
 1918.3500 12.2050 97.0750  2.3480 99.1540
 1918.4000 12.1820 97.0750  2.3510 99.1540
 1918.4500 12.2050 97.0750  2.3550 99.1540
 1918.5000 12.1940 98.6330  2.3610 99.4370
 1918.5500 12.2050 98.6330  2.3650 99.4370
 1918.6000 12.1820 98.6330  2.3680 99.4370
 1918.6500 12.2280 103.8670  2.3670 99.5740
 1918.7000 12.2050 103.8670  2.3630 99.5740
 1918.7500 12.2050 103.8670  2.3590 99.5740
 1918.8000 12.1940 106.4670  2.3560 99.4100
 1918.8500 12.1940 106.4670  2.3530 99.4100
 1918.9000 12.1820 106.4670  2.3510 99.4100
 1918.9500 12.1590 101.7410  2.3460 99.5740
 1919.0000 12.1820 101.7410  2.3430 99.5740
 1919.0500 12.1820 101.7410  2.3420 99.5740
 1919.1000 12.1820 102.2370  2.3430 99.6880
 1919.1500 12.1820 102.2370  2.3440 99.6880
 1919.2000 12.1940 102.2370  2.3440 99.6880
 1919.2500 12.1820 102.7290  2.3410 99.7360
 1919.3000 12.1820 102.7290  2.3410 99.7360
 1919.3500 12.1820 102.7290  2.3390 99.7360
 1919.4000 12.1590 102.7290  2.3370 99.7360
 1919.4500 12.1360 105.7970  2.3380 99.7990
 1919.5000 12.1360 105.7970  2.3410 99.7990
 1919.5500 12.1360 105.7970  2.3440 99.7990
 1919.6000 12.1590 104.4370  2.3470 99.4420
 1919.6500 12.1590 104.4370  2.3510 99.4420
 1919.7000 12.1820 104.4370  2.3580 99.4420
 1919.7500 12.1820 105.6160  2.3670 98.7750
 1919.8000 12.1820 105.6160  2.3760 98.7750
 1919.8500 12.2050 105.6160  2.3820 98.7750
 1919.9000 12.2050 105.2310  2.3860 98.3130
 1919.9500 12.2050 105.2310  2.3880 98.3130
 1920.0000 12.2050 105.2310  2.3900 98.3130
 1920.0500 12.2050 107.2810  2.3950 96.2860
 1920.1000 12.2050 107.2810  2.4020 96.2860
 1920.1500 12.1940 107.2810  2.4110 96.2860
 1920.2000 12.2050 104.1830  2.4200 94.2910
 1920.2500 12.2050 104.1830  2.4300 94.2910
 1920.3000 12.2050 104.1830  2.4430 94.2910
 1920.3500 12.2050 103.9220  2.4560 92.9990
 1920.4000 12.2050 103.9220  2.4690 92.9990
 1920.4500 12.2050 103.9220  2.4780 92.9990
 1920.5000 12.2280 99.9020  2.4800 92.0340
 1920.5500 12.2170 99.9020  2.4750 92.0340
 1920.6000 12.2170 99.9020  2.4660 92.0340
 1920.6500 12.2050 101.4960  2.4550 91.7810
 1920.7000 12.2050 101.4960  2.4440 91.7810
 1920.7500 12.1820 101.4960  2.4320 91.7810
 1920.8000 12.1820 99.7140  2.4180 93.8180
 1920.8500 12.1820 99.7140  2.4030 93.8180
 1920.9000 12.2050 99.7140  2.3880 93.8180
 1920.9500 12.1940 104.8520  2.3790 94.2090
 1921.0000 12.1940 104.8520  2.3740 94.2090
 1921.0500 12.1820 104.8520  2.3730 94.2090
 1921.1000 12.1590 103.0130  2.3710 95.1520
 1921.1500 12.1360 103.0130  2.3680 95.1520
 1921.2000 12.1590 103.0130  2.3630 95.1520
 1921.2500 12.1590 105.3550  2.3580 97.0240
 1921.3000 12.1590 105.3550  2.3550 97.0240
 1921.3500 12.1590 105.3550  2.3540 97.0240
 1921.4000 12.1710 104.1160  2.3540 96.8080
 1921.4500 12.1820 104.1160  2.3540 96.8080
 1921.5000 12.1820 104.1160  2.3530 96.8080
 1921.5500 12.2050 100.3020  2.3530 97.7610
 1921.6000 12.2050 100.3020  2.3550 97.7610
 1921.6500 12.1820 100.3020  2.3580 97.7610
 1921.7000 12.1940 101.8610  2.3640 97.1650
 1921.7500 12.1940 101.8610  2.3660 97.1650
 1921.8000 12.1820 101.8610  2.3650 97.1650
 1921.8500 12.1820 101.6090  2.3610 97.3760
 1921.9000 12.1590 101.6090  2.3560 97.3760
 1921.9500 12.1360 101.6090  2.3500 97.3760
 1922.0000 12.1360 106.7230  2.3460 97.4670
 1922.0500 12.1590 106.7230  2.3410 97.4670
 1922.1000 12.1710 106.7230  2.3360 97.4670
 1922.1500 12.1710 103.0740  2.3310 96.8960
 1922.2000 12.1590 103.0740  2.3290 96.8960
 1922.2500 12.1360 103.0740  2.3290 96.8960
 1922.3000 12.1590 98.6840  2.3320 95.6370
 1922.3500 12.1590 98.6840  2.3360 95.6370
 1922.4000 12.1590 98.6840  2.3400 95.6370
 1922.4500 12.1590 100.4790  2.3420 95.1420
 1922.5000 12.1820 100.4790  2.3420 95.1420
 1922.5500 12.2170 100.4790  2.3440 95.1420
 1922.6000 12.2860 100.4790  2.3460 95.1420
 1922.6500 12.3090 104.1280  2.3500 94.1630
 1922.7000 12.3090 104.1280  2.3540 94.1630
 1922.7500 12.2050 104.1280  2.3570 94.1630
 1922.8000 12.1820 103.7280  2.3600 93.1530
 1922.8500 12.1590 103.7280  2.3600 93.1530
 1922.9000 12.1590 103.7280  2.3580 93.1530
 1922.9500 12.1360 99.5180  2.3560 92.1550
