   DEPTH        DT         GR         ILD       NPHI        RHOB
  3025.000    86.3594    73.7656     2.1077    19.8977     2.4849 
  3025.200    86.5547    71.6641     2.1418    20.0391     2.4700 
  3025.400    88.3086    72.8672     2.1631    20.7539     2.4512 
  3025.600    90.1328    75.9531     2.1194    21.0534     2.4527 
  3025.800    90.2109    78.8164     2.0515    21.1084     2.4545 
  3026.000    89.7148    80.2344     2.0235    21.5781     2.4426 
  3026.200    89.8867    78.6914     2.0337    22.2734     2.4369 
  3026.400    90.3738    74.5312     2.0715    21.8320     2.4553 
  3026.600    89.6484    71.4141     2.1245    20.7852     2.4720 
  3026.800    88.5859    70.3555     2.1987    20.2109     2.4730 
  3027.000    88.8984    69.5703     2.2615    20.2546     2.4618 
  3027.200    89.7539    68.7876     2.2873    20.3792     2.4543 
  3027.400    90.2578    69.8633     2.3147    20.1250     2.4609 
  3027.600    90.6484    73.1875     2.3574    20.0352     2.4681 
  3027.800    91.0859    78.1875     2.3496    20.7188     2.4620 
  3028.000    91.3994    81.9023     2.3103    21.4727     2.4586 
  3028.200    90.9648    82.1016     2.2649    21.4453     2.4604 
  3028.400    90.5898    79.9492     2.2695    20.6328     2.4580 
  3028.600    91.3398    78.8577     2.3552    20.1614     2.4558 
  3028.800    92.0430    80.9844     2.4282    20.7734     2.4275 
  3029.000    91.4492    83.6094     2.4504    21.5715     2.3995 
  3029.200    90.1562    83.1094     2.4727    21.5195     2.4268 
  3029.400    90.0334    80.6758     2.4733    21.3845     2.4469 
  3029.600    90.4141    79.6980     2.3359    21.4646     2.4324 
  3029.800    91.0273    79.6147     1.9844    21.0156     2.4082 
  3030.000    91.3479    78.4023     1.5938    20.3906     2.3528 
  3030.200    96.8750    74.0000     1.4048    21.7109     2.2383 
  3030.400   109.7500    65.6875     1.3523    25.5391     2.1218 
  3030.600   119.1250    58.0625     1.3374    28.1758     2.1260 
  3030.800   116.0625    58.4375     1.3279    25.8867     2.2810 
  3031.000   103.8125    66.4375     1.4180    22.2109     2.4045 
  3031.200    94.5000    74.3750     1.7031    20.6641     2.4431 
  3031.400    91.1133    76.0547     2.1211    20.1641     2.4536 
  3031.600    88.6562    73.0312     2.4961    19.5117     2.4722 
  3031.800    86.8242    70.6172     2.7261    19.5352     2.4794 
  3032.000    87.3164    71.1758     2.7808    20.6562     2.4609 
  3032.200    89.5469    72.4570     2.8218    21.4141     2.4443 
  3032.400    90.3711    73.8242     2.8992    20.6875     2.4489 
  3032.600    87.9219    75.6328     2.9438    18.5859     2.4678 
  3032.800    83.9648    76.2109     2.9341    16.6914     2.4819 
  3033.000    82.2588    75.4961     2.8079    16.8633     2.4731 
  3033.200    84.2539    74.7500     2.6243    18.7266     2.4385 
  3033.400    89.1250    74.7874     2.4392    20.8594     2.4275 
  3033.600    93.0273    75.0586     2.2639    22.1797     2.4531 
  3033.800    93.6523    75.6523     2.1804    22.2461     2.4611 
  3034.000    92.0273    76.7122     2.2065    21.6726     2.4487 
  3034.200    90.1133    75.6094     2.3345    21.6965     2.4314 
  3034.400    87.0547    72.2344     2.4392    21.1328     2.4318 
  3034.600    81.4609    69.7734     2.4248    18.7656     2.4307 
  3034.800    79.0508    67.0977     2.4919    17.0330     2.3857 
  3035.000    82.8750    64.6094     2.5962    18.0312     2.3093 
  3035.200    88.2344    64.8750     2.5703    20.6484     2.2798 
  3035.400    90.6809    67.0820     2.3989    22.2305     2.3066 
  3035.600    89.4219    67.3789     2.1511    22.2773     2.3066 
  3035.800    87.0195    65.3320     1.9976    20.7266     2.2896 
  3036.000    88.5625    63.9258     2.1328    19.9414     2.2439 
  3036.200    94.6875    63.1133     2.4180    22.6523     2.1597 
  3036.400    99.8711    62.8501     2.5062    26.8984     2.1247 
  3036.600    97.7500    65.1016     2.3066    29.0625     2.1760 
  3036.800    90.5000    67.0210     2.2957    29.5586     2.1831 
  3037.000    88.6328    65.1641     2.3391    31.1680     2.1169 
  3037.200    90.7930    60.9297     2.3540    32.8047     2.0610 
  3037.400    91.5859    57.6250     2.2444    31.9922     2.0428 
  3037.600    89.5977    56.7422     2.0063    30.9414     2.0559 
  3037.800    88.7188    59.0703     1.8774    31.0591     2.1155 
  3038.000    89.8086    62.1172     1.6833    31.0391     2.1238 
  3038.200    94.9375    65.0547     1.5469    32.3203     2.0522 
  3038.400   101.3164    68.4570     1.3203    34.2070     2.0278 
  3038.600   102.0547    69.1133     1.0200    35.1914     2.1316 
  3038.800   105.1250    65.6875     0.8674    34.3398     2.2651 
  3039.000   112.7500    60.8750     0.8203    30.8242     2.3174 
  3039.200   117.5938    58.1133     0.8730    27.8867     2.3013 
  3039.400   112.0625    58.3047     0.9629    26.1016     2.3154 
  3039.600    99.1875    62.2500     1.1003    24.2695     2.3630 
  3039.800    88.9375    66.5156     1.3594    22.9453     2.4047 
  3040.000    84.6875    66.7422     1.7695    23.0078     2.4048 
  3040.200    84.9922    64.8633     2.2773    24.3828     2.3657 
  3040.400    87.3984    64.2995     2.7397    26.5547     2.2900 
  3040.600    88.6836    64.0664     2.7844    28.0352     2.1997 
  3040.800    89.0613    63.7568     2.4648    28.7812     2.1533 
  3041.000    89.5332    65.2461     2.0039    30.1328     2.1477 
  3041.200    90.0273    66.4182     1.6919    32.0547     2.0889 
  3041.400    92.4531    65.5469     1.6348    33.6992     1.9324 
  3041.600    97.6875    63.4297     1.7097    35.9844     1.7349 
  3041.800   102.3398    60.9961     1.7327    37.6953     1.7104 
  3042.000   100.7500    62.4258     1.6470    35.3750     1.8823 
  3042.200    93.8125    67.6875     1.6968    29.9375     2.1138 
  3042.400    92.9375    72.5352     2.0820    25.6523     2.2827 
  3042.600   100.3125    76.6953     2.8906    23.9102     2.3545 
  3042.800   101.0039    80.6680     3.7891    21.2461     2.3818 
  3043.000    86.6250    81.4453     4.1008    18.5547     2.4023 
  3043.200    79.7891    79.2148     3.9141    18.0095     2.3933 
  3043.400    80.9531    78.8125     3.4570    18.6836     2.3689 
  3043.600    86.5625    80.8203     3.2296    20.3555     2.3452 
  3043.800    95.8125    81.9446     3.2290    22.6797     2.3232 
  3044.000   102.9375    80.8047     3.1985    23.7373     2.3142 
  3044.200   102.2500    78.9766     3.1523    21.7734     2.3530 
  3044.400    93.4375    78.5129     3.1321    18.9570     2.3953 
  3044.600    84.9375    78.4226     3.2461    17.8203     2.4071 
  3044.800    81.1484    78.6992     3.3032    17.9492     2.4155 
  3045.000    79.8000    79.6680     3.2034    18.2734     2.4351 
  3045.200    81.1680    80.2852     3.1074    19.4922     2.4510 
  3045.400    86.8125    82.8906     3.0632    22.6875     2.4380 
  3045.600    93.2500    86.3516     3.0889    25.4727     2.4197 
  3045.800    94.1641    83.4375     3.0217    25.2031     2.4441 
  3046.000    88.9375    70.7500     2.8125    22.1992     2.4937 
  3046.200    81.3750    54.5000     2.5676    18.5586     2.5081 
  3046.400    77.6367    46.1133     2.4594    18.0312     2.4595 
  3046.600    80.1875    49.2500     2.5129    21.5000     2.3813 
  3046.800    87.2500    60.8750     2.5569    26.2539     2.3262 
  3047.000    93.6875    73.2500     2.4297    27.9336     2.3357 
  3047.200    97.2539    82.8750     2.2429    26.8672     2.3640 
  3047.400   100.0078    91.6875     2.1670    26.5820     2.3596 
  3047.600   102.2148   103.0000     2.2314    27.7734     2.3257 
  3047.800   102.9590   112.9375     2.3418    27.8086     2.3315 
  3048.000   101.9141   113.1250     2.4514    26.2383     2.3718 
  3048.200    99.0469   102.6250     2.5872    25.3906     2.3896 
  3048.400    97.2227    94.3125     2.7151    26.1797     2.3726 
  3048.600    97.1299    94.6836     2.9062    27.0977     2.3403 
  3048.800    97.5664   103.1875     3.3164    27.3477     2.3197 
  3049.000    98.1250   114.5625     3.8438    27.9648     2.3194 
  3049.200    99.3438   129.2500     4.5547    28.9102     2.3240 
  3049.400   101.1250   143.2500     5.4102    29.2344     2.3215 
  3049.600   101.7617   141.0625     5.9492    28.3711     2.3150 
  3049.800   100.3672   121.5625     6.0920    26.8672     2.3128 
  3050.000    98.2539   103.6875     5.6445    25.7668     2.3094 
  3050.200    97.2227   101.8125     5.2620    25.7969     2.2961 
  3050.400    99.0156   112.2500     5.1594    26.7812     2.2814 
  3050.600   101.8477   127.6875     4.7031    27.8228     2.2834 
  3050.800   102.2617   131.1875     3.9766    27.3125     2.3286 
  3051.000   100.1797   119.8125     3.3164    26.2383     2.3870 
  3051.200    97.2609   104.7119     2.8677    25.7929     2.4078 
  3051.400    96.4414    95.6250     2.6855    25.0391     2.4067 
  3051.600    96.2227    93.9180     2.5913    23.6719     2.4125 
  3051.800    95.4297    96.4336     2.6646    22.7266     2.4202 
  3052.000    94.3281    98.1875     2.9297    22.5876     2.4298 
  3052.200    93.0234   100.0430     3.3633    22.1992     2.4369 
  3052.400    91.4297   102.3359     4.0391    21.4961     2.4347 
  3052.600    89.7383   100.5000     5.0898    21.1228     2.4305 
  3052.800    88.2773    95.5000     6.4727    21.0308     2.4297 
  3053.000    87.0273    92.4766     8.0391    20.8357     2.4267 
  3053.200    85.7891    94.1562     9.5742    20.4805     2.4232 
  3053.400    85.0781    98.0859    11.3398    20.3245     2.4187 
  3053.600    85.0532   101.7969    13.3008    20.1523     2.4128 
  3053.800    85.1797   103.9766    14.5977    19.4062     2.4128 
  3054.000    84.9071   104.3320    13.6875    18.7935     2.4255 
  3054.200    85.4258   106.3047    10.6953    18.9453     2.4284 
  3054.400    86.5000   111.0625     7.0742    19.3594     2.4216 
  3054.600    86.9297   110.6250     4.9023    19.2649     2.4348 
  3054.800    87.7656   100.8750     3.8320    19.5000     2.4436 
  3055.000    90.3750    87.5625     3.2773    21.4062     2.4307 
  3055.200    94.0938    83.0586     2.9688    24.1758     2.4342 
  3055.400    95.0469    85.6914     2.7239    25.2964     2.4395 
  3055.600    92.7148    89.0000     2.5767    24.0703     2.4374 
  3055.800    89.8633    91.0469     2.5652    22.5369     2.4352 
  3056.000    89.9414    92.3711     2.6382    23.2031     2.4126 
  3056.200    93.0430    94.8320     2.6089    25.1562     2.3750 
  3056.400    96.1953    99.1562     2.4978    27.1328     2.3340 
  3056.600    98.4141   102.0781     2.4597    29.5977     2.3015 
  3056.800   100.1289   104.0000     2.4504    31.8867     2.2891 
  3057.000   100.7773   106.8828     2.4756    31.6367     2.3167 
  3057.200    99.8047   107.8711     2.5737    29.5117     2.3633 
  3057.400    98.3203   107.3164     2.9297    28.4766     2.3822 
  3057.600    97.6406   108.6484     3.6172    28.3418     2.3767 
  3057.800    96.1758   110.1875     4.8711    27.6719     2.3687 
  3058.000    92.3750   108.6836     6.7188    25.6719     2.3774 
  3058.200    87.4375   105.7148     8.4180    22.4922     2.3861 
  3058.400    83.3945   103.5078     8.7773    19.8438     2.3908 
  3058.600    81.5547    99.8125     8.0273    18.7461     2.4062 
  3058.800    82.3203    91.3125     7.0586    19.2852     2.4222 
  3059.000    84.9648    83.6289     6.3672    21.3633     2.4349 
  3059.200    88.2031    83.3320     5.7305    23.5742     2.4346 
  3059.400    90.6094    89.8750     5.2227    24.8398     2.4216 
  3059.600    91.7383   100.9375     5.1797    24.5547     2.4141 
  3059.800    90.9648   108.5508     5.6992    23.1133     2.4237 
  3060.000    89.1836   106.1875     6.4727    21.7227     2.4301 
  3060.200    87.9036    97.9375     7.0295    20.9895     2.4305 
  3060.400    87.9375    91.4375     7.1084    20.8188     2.4394 
  3060.600    88.0042    88.1602     6.8438    20.8259     2.4476 
  3060.800    87.9031    86.7539     6.4102    20.8479     2.4438 
  3061.000    88.1914    84.9219     6.0273    21.0000     2.4243 
  3061.200    89.1250    84.8008     5.8071    21.3203     2.4084 
  3061.400    89.9414    88.8750     5.6169    21.5967     2.4074 
  3061.600    90.3945    91.6797     5.2812    21.8516     2.4135 
  3061.800    91.1211    88.5625     4.9102    22.2617     2.4169 
  3062.000    91.9766    83.5000     4.6812    22.5684     2.4193 
  3062.200    92.6445    81.8750     4.7329    22.7227     2.4269 
  3062.400    92.6367    82.6406     4.9224    22.9080     2.4281 
  3062.600    91.5234    83.6758     5.1091    22.9985     2.4124 
  3062.800    89.5586    82.7500     5.3125    22.6406     2.3993 
  3063.000    88.2109    77.5625     5.7344    21.6719     2.4034 
  3063.200    87.7761    70.7500     6.5430    20.4805     2.4097 
  3063.400    86.8203    63.2500     7.6055    18.7578     2.4229 
  3063.600    82.6875    54.9375     8.6680    15.6016     2.4805 
  3063.800    76.3125    46.4375     9.5430    12.1641     2.5405 
  3064.000    71.0000    38.7500    10.0273    10.6523     2.5491 
  3064.200    70.5312    36.3750     9.5000    11.8164     2.5049 
  3064.400    73.5469    41.6250     8.3242    14.1914     2.4470 
  3064.600    78.8750    52.4375     7.0234    17.5195     2.3828 
  3064.800    85.1250    61.8750     5.9922    20.3281     2.3225 
  3065.000    90.4648    66.7500     5.3711    21.0671     2.3103 
  3065.200    92.9727    69.9883     4.9375    21.2734     2.3469 
  3065.400    92.5742    72.8359     4.6350    22.5430     2.3763 
  3065.600    90.6914    73.4297     4.4263    23.4346     2.3904 
  3065.800    88.7891    74.0469     4.3369    22.8867     2.4158 
  3066.000    88.1875    77.2891     4.4836    22.5898     2.4398 
  3066.200    88.7773    80.9180     4.6812    23.5977     2.4409 
