   DEPTH        DT         GR         ILD       NPHI        RHOB
  3019.800    89.9885    98.4062     2.6572    22.2773     2.4157 
  3020.000    90.1680    92.3750     2.8416    22.6484     2.4300 
  3020.200    90.9141    93.0625     3.0242    23.9805     2.4266 
  3020.400    92.2891   104.6875     3.1421    24.6406     2.4092 
  3020.600    94.1641   116.7500     3.3047    25.0273     2.3914 
  3020.800    95.3398   116.3125     3.5586    26.4258     2.3806 
  3021.000    94.2344   107.8750     3.8359    28.7539     2.3861 
  3021.200    91.4219   104.0352     4.0222    30.8477     2.4050 
  3021.400    89.6914   108.0000     3.9995    31.1719     2.4162 
  3021.600    89.1909   112.4453     3.7070    28.6055     2.4158 
  3021.800    89.3047   114.0674     3.2227    25.5234     2.4089 
  3022.000    90.7031   113.3477     2.7773    25.7383     2.4007 
  3022.200    93.7656   109.9375     2.4375    26.5938     2.4007 
  3022.400    96.8945   104.8906     2.1899    26.3047     2.4021 
  3022.600    98.2227   103.5820     2.0164    27.6523     2.3884 
  3022.800    98.8594   104.6406     1.9399    29.1133     2.3730 
  3023.000    99.0676   104.5664     1.9724    28.7812     2.3642 
  3023.200    99.2969   107.7500     2.1013    29.1211     2.3469 
  3023.400   100.4961   118.8750     2.2671    31.1953     2.3215 
  3023.600   102.1445   133.9375     2.4192    32.5430     2.3064 
  3023.800   103.2734   143.9453     2.5085    32.5780     2.3094 
  3024.000   103.4102   142.5625     2.5510    32.2344     2.3235 
  3024.200   102.2812   130.8750     2.5940    30.5664     2.3472 
  3024.400    99.6094   119.1367     2.6392    28.3159     2.3734 
  3024.600    97.7969   120.0000     2.6478    28.9805     2.3753 
  3024.800    98.0469   130.0000     2.6455    30.9727     2.3521 
  3025.000    98.1914   133.7500     2.7134    30.0664     2.3361 
  3025.200    95.8516   122.5625     2.8564    26.9023     2.3052 
  3025.400    91.6875   106.0000     3.0046    24.3086     2.1584 
  3025.600    88.0664    89.0000     3.1992    20.1953     1.9250 
  3025.800    85.0000    70.1875     3.5352    17.4102     1.7778 
  3026.000    79.0625    50.0000     3.8569    19.4258     1.7336 
  3026.200    71.1875    31.3125     3.8931    19.5820     1.7556 
  3026.400    64.6289    21.1875     3.5547    15.6445     1.8733 
  3026.600    63.5078    21.6875     3.1367    15.6914     2.0559 
  3026.800    70.3125    30.3750     2.7617    21.2500     2.1953 
  3027.000    81.7500    42.5625     2.3789    27.3594     2.2610 
  3027.200    90.0000    51.7500     2.0195    28.8359     2.3430 
  3027.400    91.6665    55.5742     1.7585    26.4922     2.4119 
  3027.600    90.1914    55.4102     1.6230    24.4258     2.4089 
  3027.800    89.1094    53.2500     1.5827    23.6445     2.3979 
  3028.000    87.9961    50.8672     1.5866    22.7930     2.4219 
  3028.200    86.9844    48.9219     1.6116    21.3594     2.4488 
  3028.400    85.9961    47.1797     1.6472    20.4697     2.4553 
  3028.600    85.5483    46.2852     1.6907    20.5027     2.4539 
  3028.800    86.2969    46.7812     1.7395    21.1133     2.4545 
  3029.000    87.5586    47.3008     1.7778    22.5781     2.4639 
  3029.200    87.8242    46.3906     1.8040    23.6367     2.4747 
  3029.400    86.8242    44.5898     1.8252    22.7539     2.4766 
  3029.600    85.4609    43.9297     1.8506    20.6484     2.4712 
  3029.800    84.7500    44.5078     1.8745    19.8450     2.4727 
  3030.000    85.2031    44.9766     1.8828    21.3711     2.4818 
  3030.200    86.0430    44.5703     1.8747    23.5859     2.4918 
  3030.400    86.0820    43.7734     1.8631    23.5469     2.4993 
  3030.600    85.4805    44.2852     1.8597    21.7930     2.4982 
  3030.800    84.9744    46.8203     1.8670    20.6909     2.4907 
