   DEPTH        DT         GR         ILD       NPHI        RHOB
  2940.000    84.1809    84.5625     2.0278    23.8582     2.4247 
  2940.200    84.6133    77.0625     1.9238    24.0625     2.4286 
  2940.400    85.5000    69.1250     1.8481    26.0156     2.4221 
  2940.600    85.4922    61.5000     1.7722    26.1328     2.4231 
  2940.800    84.5234    53.7500     1.7112    24.3906     2.4478 
  2941.000    83.5195    47.5000     1.6833    23.2148     2.4783 
  2941.200    82.8281    43.9688     1.6899    22.8438     2.5017 
  2941.400    82.6292    42.3008     1.7214    22.3438     2.5247 
  2941.600    83.1758    41.6641     1.7778    22.4609     2.5466 
  2941.800    83.4648    41.5269     1.8440    23.5430     2.5669 
  2942.000    81.7188    41.3994     1.8936    23.5039     2.5908 
  2942.200    78.2070    40.8086     1.9382    21.8672     2.6191 
  2942.400    75.1758    39.5586     2.0081    19.4883     2.6375 
  2942.600    75.2344    39.2188     2.0825    19.5117     2.6238 
  2942.800    78.0938    41.0898     2.0970    21.8945     2.5845 
  2943.000    82.3047    44.1484     2.0151    23.5156     2.5356 
  2943.200    85.7773    46.6055     1.8633    23.8782     2.4912 
  2943.400    87.7031    48.2109     1.7415    23.7380     2.4583 
  2943.600    88.7461    49.2344     1.6853    24.4023     2.4420 
  2943.800    89.3711    49.7422     1.6743    25.0156     2.4420 
  2944.000    89.6597    49.9888     1.6688    25.1804     2.4481 
  2944.200    89.6458    50.2812     1.6559    24.7344     2.4529 
  2944.400    89.1523    50.7227     1.6411    24.7095     2.4537 
  2944.600    88.2773    50.9678     1.6346    24.9111     2.4543 
  2944.800    87.4102    50.6289     1.6336    24.8203     2.4558 
  2945.000    86.7461    49.7539     1.6348    23.8164     2.4561 
  2945.200    86.5061    49.0234     1.6417    23.1016     2.4547 
  2945.400    86.7695    48.6367     1.6584    22.9968     2.4550 
  2945.600    87.2578    48.2500     1.6833    23.3203     2.4577 
  2945.800    87.5933    47.7539     1.7033    23.5522     2.4593 
  2946.000    87.5078    47.4148     1.7117    23.4165     2.4576 
  2946.200    86.8320    47.2954     1.7131    22.9922     2.4558 
  2946.400    85.8594    47.2754     1.7131    22.7515     2.4578 
  2946.600    85.2344    47.1892     1.7136    22.9453     2.4587 
  2946.800    85.1130    46.7734     1.7191    23.4414     2.4560 
  2947.000    85.2693    45.6758     1.7471    23.6370     2.4554 
  2947.200    85.2720    44.4922     1.7988    23.4768     2.4573 
  2947.400    84.9922    44.2358     1.8535    23.1289     2.4566 
  2947.600    84.6511    45.1094     1.8972    22.3477     2.4556 
  2947.800    84.6125    46.0117     1.9314    21.8384     2.4582 
  2948.000    85.0391    46.9141     1.9491    22.1602     2.4596 
  2948.200    86.0898    48.3906     1.9541    23.0547     2.4544 
  2948.400    87.6719    50.1875     1.9601    24.0234     2.4453 
  2948.600    89.0430    51.8633     1.9595    24.6680     2.4418 
  2948.800    89.2617    53.0605     1.9243    24.9297     2.4474 
  2949.000    88.1328    52.8945     1.8459    24.1484     2.4539 
  2949.200    87.0000    51.4766     1.7576    22.9844     2.4551 
  2949.400    86.8203    49.9180     1.6807    22.9609     2.4493 
  2949.600    87.7773    49.0078     1.6289    23.7969     2.4341 
  2949.800    89.0469    48.3281     1.6044    24.9219     2.4185 
  2950.000    89.6758    47.6797     1.6054    25.5859     2.4167 
  2950.200    88.9297    47.2344     1.6205    24.4453     2.4306 
  2950.400    87.6523    47.0956     1.6348    22.8203     2.4422 
  2950.600    86.9023    47.2058     1.6572    22.6543     2.4458 
  2950.800    87.0938    47.5312     1.7039    22.8770     2.4450 
  2951.000    87.6914    47.9531     1.7576    23.2188     2.4460 
  2951.200    88.2305    48.4961     1.7981    23.6289     2.4473 
  2951.400    88.3347    49.3555     1.8194    23.7986     2.4461 
  2951.600    88.0957    50.3125     1.8180    24.0249     2.4424 
  2951.800    87.8953    50.8945     1.7966    24.1206     2.4322 
  2952.000    87.8307    50.6680     1.7790    23.9883     2.4192 
  2952.200    87.8030    49.4648     1.8074    23.7271     2.4093 
  2952.400    87.5781    48.1250     1.8955    23.6671     2.4013 
  2952.600    86.9023    47.5234     2.0269    23.6924     2.3969 
  2952.800    85.8711    48.4492     2.1638    23.4727     2.3997 
  2953.000    85.4446    51.4766     2.2861    22.6797     2.4034 
  2953.200    86.6055    56.8125     2.3792    22.4163     2.4063 
  2953.400    89.1992    62.1797     2.4203    23.1016     2.4091 
  2953.600    90.7109    65.2891     2.4296    24.4062     2.4066 
  2953.800    89.7266    65.4844     2.4303    25.2578     2.4053 
  2954.000    86.7422    63.5625     2.4297    24.1914     2.4157 
  2954.200    84.5352    61.8086     2.4238    23.5957     2.4262 
  2954.400    84.7969    61.2141     2.4028    24.0938     2.4250 
  2954.600    86.7461    61.6680     2.3406    24.8555     2.4156 
  2954.800    88.5547    63.4258     2.2234    25.4883     2.4067 
  2955.000    89.6680    66.5312     2.1108    25.8354     2.4068 
  2955.200    90.6875    70.5664     2.0332    25.5586     2.4209 
  2955.400    92.2500    74.6094     1.9380    25.3455     2.4399 
  2955.600    93.9570    77.7109     1.8296    26.0898     2.4489 
  2955.800    94.9414    78.5469     1.7634    27.6680     2.4419 
  2956.000    94.4141    74.5625     1.7446    28.4922     2.4295 
  2956.200    92.4219    67.5625     1.7212    27.0586     2.4315 
  2956.400    88.7109    60.8125     1.6873    24.9375     2.4507 
  2956.600    84.8047    57.8867     1.6645    23.7031     2.4673 
  2956.800    84.2227    59.0938     1.6711    23.0156     2.4669 
  2957.000    88.0625    63.8750     1.6948    22.9956     2.4514 
  2957.200    92.8398    70.5625     1.7027    23.8633     2.4260 
  2957.400    94.3472    74.3281     1.6910    25.9844     2.3999 
  2957.600    93.2656    71.0000     1.6781    27.5195     2.3848 
  2957.800    91.2422    62.0625     1.6740    27.2500     2.3904 
  2958.000    89.5078    54.1250     1.6778    26.2891     2.4114 
  2958.200    88.0156    49.7422     1.7053    25.2266     2.4412 
  2958.400    86.0312    47.2812     1.7827    24.2812     2.4717 
  2958.600    83.9336    45.4844     1.9009    23.3477     2.4932 
  2958.800    82.1133    43.9727     2.0269    21.0664     2.5070 
  2959.000    79.8008    42.6367     2.1436    19.0806     2.5126 
  2959.200    77.4219    41.6211     2.2334    19.4219     2.5118 
  2959.400    76.5278    41.7812     2.2886    19.7344     2.5151 
