   DEPTH        DT	   GR 	      ILD 	NPHI	   RHOB
  3019.800    79.0698    49.0015     2.3339    18.0764     2.4975 
  3020.000    79.7246    47.5348     2.2729    19.1342     2.4936 
  3020.200    80.8391    44.3884     2.1843    20.1285     2.4829 
  3020.400    82.3003    44.6661     2.1013    20.6133     2.4720 
  3020.600    83.9727    48.4950     2.0592    21.0408     2.4646 
  3020.800    85.1296    51.9287     2.0793    21.8287     2.4617 
  3021.000    85.2902    52.5738     2.1733    22.2047     2.4651 
  3021.200    84.3766    49.8272     2.3483    21.1876     2.4785 
  3021.400    82.8630    46.3018     2.6051    19.5607     2.4873 
  3021.600    81.2630    44.8586     2.8742    18.7238     2.4867 
  3021.800    79.8141    45.2008     3.0686    18.8928     2.4935 
  3022.000    78.5199    44.3908     3.1737    19.4138     2.5139 
  3022.200    77.4482    43.2956     3.1902    19.1120     2.5228 
  3022.400    77.2088    42.6029     3.1328    18.5282     2.5109 
  3022.600    78.4648    42.6771     2.9871    18.3960     2.4893 
  3022.800    80.0818    42.3197     2.7638    17.9602     2.4744 
  3023.000    80.9632    40.9867     2.5462    17.3051     2.4736 
  3023.200    81.1256    39.9704     2.4132    17.7115     2.4839 
  3023.400    81.4997    40.6387     2.3502    18.9822     2.4910 
  3023.600    81.9764    40.6249     2.3142    20.1232     2.4896 
  3023.800    81.8097    37.1615     2.2811    20.1839     2.4842 
  3024.000    81.1903    34.1174     2.2538    19.4089     2.4802 
  3024.200    80.9402    35.6727     2.2333    19.0634     2.4798 
  3024.400    81.3169    38.6999     2.2243    19.7817     2.4840 
  3024.600    81.5977    40.8084     2.2112    20.3979     2.4875 
  3024.800    81.3513    42.8477     2.1791    19.9661     2.4852 
  3025.000    80.9592    43.8947     2.1439    19.2332     2.4813 
  3025.200    81.2888    45.9585     2.1301    18.7862     2.4802 
  3025.400    82.3837    50.8609     2.1279    19.7282     2.4829 
  3025.600    83.3798    54.5443     2.1204    21.9662     2.4878 
  3025.800    83.2501    53.4289     2.1029    22.7028     2.4883 
  3026.000    82.4549    51.9826     2.0843    21.1545     2.4908 
  3026.200    81.7892    52.0364     2.0791    19.2266     2.4987 
  3026.400    81.5989    50.7325     2.0825    19.0533     2.5056 
  3026.600    81.5794    46.5707     2.0737    19.7656     2.4987 
  3026.800    81.7079    43.7189     2.0553    19.8291     2.4841 
  3027.000    82.1584    46.5559     2.0486    19.2768     2.4813 
  3027.200    82.6772    50.3389     2.0470    19.5808     2.4899 
  3027.400    82.9447    49.6158     2.0323    20.5943     2.4960 
  3027.600    83.0669    48.4939     2.0250    20.4978     2.4960 
  3027.800    83.1083    50.7950     2.0430    20.3356     2.4902 
  3028.000    82.9061    52.3637     2.0676    21.3641     2.4855 
  3028.200    82.1757    50.6553     2.0792    21.9211     2.4846 
  3028.400    81.4496    49.4445     2.0844    20.5887     2.4891 
  3028.600    81.5994    50.6012     2.1044    19.7601     2.4898 
  3028.800    82.3659    50.3330     2.1342    20.3724     2.4808 
  3029.000    82.7324    46.8600     2.1699    22.3548     2.4736 
  3029.200    82.2332    44.6219     2.2424    23.7111     2.4752 
  3029.400    81.4120    45.4603     2.3905    22.8064     2.4742 
  3029.600    81.7621    48.5271     2.5753    21.4076     2.4698 
  3029.800    83.0340    50.6687     2.6575    22.4213     2.4693 
  3030.000    83.9410    50.6099     2.6292    24.0162     2.4719 
  3030.200    83.9203    51.4839     2.6117    23.5104     2.4798 
  3030.400    83.3779    54.3600     2.6831    21.8208     2.4908 
  3030.600    82.7770    57.1644     2.7987    20.8142     2.5015 
  3030.800    81.8937    57.0460     2.8431    21.1902     2.5121 
  3031.000    80.1301    54.4378     2.7833    21.8132     2.5213 
  3031.200    77.5032    53.9016     2.7262    20.6621     2.5348 
  3031.400    74.8745    54.1259     2.7258    18.0829     2.5447 
  3031.600    73.5622    50.3002     2.8210    15.9591     2.5401 
  3031.800    73.6476    47.5274     2.9454    15.1866     2.5381 
  3032.000    74.1837    48.5019     3.0142    15.4730     2.5415 
  3032.200    74.1049    48.5289     2.9524    16.0465     2.5420 
  3032.400    73.8834    49.3127     2.8215    16.0620     2.5458 
  3032.600    74.3938    53.1794     2.7178    15.8752     2.5511 
  3032.800    76.0145    58.0503     2.6800    16.6168     2.5526 
  3033.000    77.5055    62.3992     2.6762    18.5064     2.5511 
  3033.200    77.6952    64.6311     2.6641    20.3862     2.5494 
  3033.400    76.7012    60.9207     2.6695    20.2790     2.5564 
  3033.600    75.8109    57.6976     2.7581    18.3079     2.5662 
  3033.800    75.4243    60.7975     2.9281    16.5485     2.5693 
  3034.000    75.1440    68.4612     3.1578    15.8752     2.5685 
