   DEPTH        DT         GR         ILD       NPHI        RHOB
  3170.000    88.1253    93.8016     2.1842    26.2098     2.4754 
  3170.200    87.3926    95.1770     2.2215    25.5355     2.4808 
  3170.400    86.6072    97.0373     2.2217    24.1592     2.4915 
  3170.600    86.0311    96.7004     2.1883    23.9862     2.4896 
  3170.800    85.7219    95.7492     2.1335    23.6840     2.4808 
  3171.000    85.4840    95.4377     2.0992    22.6793     2.4793 
  3171.200    84.8029    96.1482     2.0823    21.3976     2.4783 
  3171.400    84.4899    97.0410     2.0666    20.8412     2.4714 
  3171.600    85.3976    96.4324     2.0467    22.5343     2.4687 
  3171.800    87.3322    96.4720     2.0243    25.0684     2.4764 
  3172.000    89.0201    98.1957     2.0127    25.4742     2.4851 
  3172.200    89.6042    98.1471     2.0105    24.6744     2.4906 
  3172.400    88.8211    94.7887     2.0072    24.4720     2.4973 
  3172.600    87.0530    91.3421     1.9984    24.0526     2.5073 
  3172.800    84.2617    88.0047     1.9988    21.8899     2.5193 
  3173.000    81.1869    82.6328     2.0316    19.4469     2.5388 
  3173.200    79.2048    75.6120     2.1040    19.2791     2.5616 
  3173.400    78.7448    68.7186     2.1830    20.6624     2.5687 
  3173.600    79.8606    63.6064     2.2485    21.5014     2.5539 
  3173.800    81.7251    62.3466     2.2938    22.1700     2.5326 
  3174.000    83.4940    64.3848     2.3055    23.2729     2.5118 
  3174.200    84.4884    68.0578     2.2794    23.3372     2.4986 
  3174.400    84.6172    72.2234     2.2099    22.2069     2.5032 
  3174.600    84.7833    75.9102     2.1332    21.7717     2.5134 
  3174.800    85.3094    77.4439     2.0819    22.2615     2.5164 
  3175.000    85.4284    76.1758     2.0610    23.0438     2.5104 
  3175.200    84.8418    74.2241     2.0653    22.6425     2.5054 
  3175.400    84.2025    71.3021     2.0883    21.6850     2.5116 
  3175.600    84.1355    67.2105     2.1041    22.0038     2.5237 
  3175.800    84.5329    65.8478     2.1221    22.7317     2.5224 
  3176.000    85.0313    67.9658     2.1532    22.6694     2.5063 
  3176.200    85.5826    70.0851     2.1771    22.2081     2.5005 
  3176.400    86.4320    70.9584     2.1435    22.7604     2.5162 
  3176.600    87.0529    72.8425     2.0597    23.8919     2.5274 
  3176.800    86.7419    77.8428     1.9820    24.1309     2.5183 
  3177.000    86.0003    82.9740     1.9557    23.4697     2.5066 
  3177.200    85.5733    84.1440     1.9712    23.0586     2.5005 
  3177.400    85.6675    82.2196     2.0058    23.2134     2.4909 
  3177.600    85.9289    80.8713     2.0712    24.9972     2.4752 
  3177.800    85.9834    80.4228     2.2102    26.8992     2.4702 
  3178.000    86.0109    80.4991     2.4015    26.2380     2.4821 
  3178.200    86.6541    80.1340     2.5052    24.7915     2.4851 
  3178.400    87.7658    78.3934     2.5181    25.9639     2.4633 
  3178.600    88.4550    76.8669     2.5280    26.9375     2.4347 
  3178.800    88.0942    77.2240     2.5659    24.9630     2.4306 
  3179.000    87.3779    75.2626     2.5383    23.3328     2.4479 
  3179.200    87.1017    68.8728     2.4272    23.9524     2.4620 
  3179.400    87.2097    61.6976     2.3017    24.8849     2.4592 
  3179.600    86.9370    57.8111     2.1983    23.7171     2.4598 
  3179.800    86.3852    57.1233     2.1424    22.5900     2.4772 
  3180.000    85.9727    58.5244     2.1281    22.9624     2.4810 
  3180.200    85.9999    60.4314     2.1161    23.8579     2.4596 
  3180.400    86.6650    61.2888     2.1080    25.2188     2.4390 
  3180.600    88.2906    61.3609     2.1644    27.8892     2.4248 
  3180.800    90.7485    64.5943     2.3347    31.2994     2.4003 
  3181.000    92.5378    74.2724     2.5740    31.4350     2.3820 
  3181.200    91.9950    90.6449     2.7971    26.8187     2.3961 
  3181.400    89.1691   101.3112     2.8941    23.8139     2.4367 
  3181.600    86.4377    92.5866     2.9128    23.7322     2.4723 
  3181.800    85.6979    71.0429     2.8859    24.4965     2.4867 
  3182.000    87.0847    57.5516     2.7563    24.5813     2.4826 
  3182.200    88.6167    55.6418     2.5332    24.3984     2.4774 
  3182.400    89.7737    58.7080     2.3175    25.9134     2.4707 
  3182.600    90.4309    61.7279     2.1938    28.7374     2.4485 
  3182.800    90.6381    62.4067     2.1722    29.0908     2.4203 
  3183.000    90.5221    64.5579     2.2376    26.5493     2.4258 
  3183.200    89.2182    71.8383     2.3494    23.8804     2.4676 
  3183.400    86.8250    76.3381     2.4733    22.9855     2.4870 
  3183.600    85.0400    70.3828     2.5540    23.7340     2.4806 
  3183.800    85.4331    58.8900     2.5135    25.1199     2.4788 
  3184.000    87.6340    54.2541     2.4021    24.9158     2.4844 
  3184.200    89.0305    57.4210     2.2765    23.6793     2.4804 
  3184.400    88.7203    61.0537     2.1570    23.0590     2.4638 
  3184.600    87.7473    58.9129     2.0658    23.3424     2.4493 
  3184.800    87.0883    53.7074     2.0139    24.3839     2.4392 
  3185.000    87.0537    49.0383     2.0130    25.5959     2.4280 
  3185.200    87.7108    47.3466     2.0612    26.0390     2.4174 
  3185.400    88.3233    48.0637     2.1306    25.8403     2.4078 
  3185.600    88.8274    49.7926     2.1799    25.6039     2.4017 
  3185.800    89.5184    51.3711     2.1843    26.2544     2.4048 
  3186.000    90.1763    52.0634     2.1550    27.1509     2.4200 
  3186.200    90.4559    53.0307     2.1262    26.4296     2.4393 
  3186.400    90.3400    55.3175     2.1060    25.2239     2.4509 
  3186.600    89.9868    57.0097     2.0944    24.9556     2.4424 
  3186.800    89.7901    57.0148     2.1019    24.8650     2.4206 
  3187.000    89.6884    56.4717     2.1327    25.2221     2.4063 
  3187.200    89.5639    55.4519     2.1656    26.2614     2.3994 
  3187.400    89.3621    54.3836     2.1893    26.6768     2.3922 
  3187.600    88.5304    54.0773     2.2230    24.6893     2.4027 
  3187.800    85.6623    52.5322     2.3051    22.0509     2.4432 
  3188.000    82.1151    49.3233     2.4411    22.6765     2.4770 
  3188.200    80.8042    46.3793     2.5863    24.9106     2.4781 
  3188.400    83.5650    43.8492     2.6716    25.4533     2.4526 
  3188.600    87.8886    42.5430     2.6570    25.2513     2.4279 
  3188.800    91.1155    45.0555     2.6049    25.0799     2.4060 
  3189.000    92.2286    50.6225     2.5750    25.1376     2.3830 
  3189.200    92.2130    55.9064     2.5221    25.5191     2.3728 
  3189.400    92.0427    59.7276     2.4278    25.9267     2.3823 
  3189.600    92.3392    60.3479     2.3403    26.5697     2.3925 
  3189.800    92.7164    58.4900     2.2845    27.6833     2.3892 
  3190.000    92.5679    57.5736     2.2688    27.3321     2.3797 
  3190.200    92.0495    58.1453     2.2828    25.9127     2.3784 
  3190.400    92.0629    58.6725     2.2669    26.1579     2.3948 
  3190.600    92.6659    58.4164     2.2017    26.7267     2.4081 
  3190.800    93.2940    57.8364     2.0946    26.0970     2.4159 
  3191.000    93.3482    59.6272     1.9625    25.5401     2.4315 
  3191.200    92.8377    64.8629     1.8559    25.9442     2.4517 
  3191.400    91.8542    71.4275     1.7915    26.3530     2.4662 
  3191.600    90.6746    74.0826     1.7538    25.9587     2.4659 
  3191.800    90.1434    71.2899     1.7762    25.8001     2.4526 
  3192.000    90.9394    66.2624     1.8910    27.2921     2.4305 
  3192.200    92.8105    66.0396     2.0520    29.2978     2.4081 
  3192.400    93.9940    76.5428     2.1711    28.5294     2.4051 
  3192.600    93.2300    92.2236     2.2431    25.6209     2.4345 
  3192.800    90.7692    97.7792     2.2822    23.5621     2.4786 
  3193.000    88.8504    88.2739     2.2990    23.4538     2.5003 
  3193.200    89.0594    74.9535     2.2574    25.0975     2.4934 
  3193.400    91.6150    66.2642     2.1332    28.6583     2.4604 
  3193.600    95.2903    66.9457     2.0118    31.8961     2.4110 
  3193.800    97.9880    74.8236     1.9671    32.0094     2.3735 
  3194.000    98.9399    86.0142     1.9757    29.8387     2.3706 
  3194.200    98.5045    95.1742     1.9824    29.8950     2.3850 
  3194.400    98.0575    97.1372     2.0105    31.2176     2.3663 
  3194.600    97.8073    93.2445     2.1351    30.4328     2.3517 
  3194.800    96.7807    94.9416     2.4000    28.1399     2.3674 
  3195.000    94.7712   107.7516     2.6771    26.7191     2.3835 
  3195.200    92.9827   124.4794     2.9199    26.4051     2.4041 
  3195.400    92.5195   132.4691     3.1456    27.0818     2.4240 
  3195.600    92.7164   127.1119     3.2468    27.9968     2.4141 
  3195.800    93.7105   113.8289     3.1653    27.6730     2.3848 
  3196.000    94.7854   101.7418     2.9885    26.7370     2.3748 
  3196.200    94.8573    97.0524     2.8192    26.6940     2.3719 
  3196.400    94.3873    97.3104     2.7001    27.0275     2.3624 
  3196.600    93.7434   102.2719     2.7156    26.6087     2.3495 
  3196.800    92.7867   114.5847     3.0211    25.5909     2.3550 
  3197.000    91.2638   127.9010     3.6289    25.2634     2.3893 
  3197.200    89.3875   131.7775     4.5086    26.3098     2.4206 
  3197.400    87.9981   122.3863     5.5482    26.0984     2.4185 
  3197.600    87.4224   115.1192     6.4994    23.5159     2.4206 
