   DEPTH 	DT 	   GR 	      ILD 	NPHI 	    RHOB
  2969.800    89.0195    53.8594     1.9812    22.7344     2.4955 
  2970.000    87.9414    53.5000     2.0466    22.1016     2.4918 
  2970.200    87.4707    54.8750     2.0874    21.8351     2.4884 
  2970.400    87.3489    56.0703     2.0968    22.0898     2.4882 
  2970.600    87.5312    55.8203     2.0856    22.5664     2.4855 
  2970.800    88.1094    54.8359     2.0836    22.8193     2.4732 
  2971.000    88.8125    54.7852     2.0981    22.8367     2.4593 
  2971.200    89.2173    57.1250     2.1296    22.6965     2.4552 
  2971.400    88.9297    62.5625     2.1538    22.5332     2.4644 
  2971.600    88.3047    69.4375     2.1597    22.6304     2.4781 
  2971.800    87.9961    75.4297     2.1543    23.3398     2.4883 
  2972.000    88.7852    79.4648     2.1343    24.7578     2.4846 
  2972.200    90.1406    83.8125     2.1030    26.1719     2.4685 
  2972.400    91.4102    90.5000     2.0759    27.0938     2.4456 
  2972.600    91.9648    98.5625     2.0371    27.1055     2.4364 
  2972.800    91.0078    98.2500     1.9824    26.1016     2.4592 
  2973.000    89.7031    83.6250     1.9294    24.3633     2.4919 
  2973.200    89.0586    66.0000     1.8945    22.6758     2.5117 
  2973.400    86.6758    56.9375     1.8895    21.4766     2.5291 
  2973.600    81.4375    51.8750     1.9275    19.9766     2.5496 
  2973.800    76.3203    46.7812     2.0217    17.6055     2.5641 
  2974.000    75.8203    43.7344     2.1431    15.9766     2.5571 
  2974.200    79.0820    45.2266     2.2603    16.7070     2.5239 
  2974.400    83.6250    51.5625     2.3296    19.3242     2.4812 
  2974.600    87.8008    60.5625     2.3328    21.9258     2.4529 
  2974.800    91.2344    69.0625     2.2690    24.3125     2.4350 
  2975.000    94.2227    79.1250     2.1653    27.0813     2.4175 
  2975.200    95.8711    94.1250     2.0837    28.7507     2.4090 
  2975.400    95.1445   103.3594     1.9976    27.8398     2.4229 
  2975.600    92.8477    95.6875     1.8650    24.9258     2.4502 
  2975.800    90.7344    76.2500     1.7178    22.9492     2.4649 
  2976.000    90.0293    61.3750     1.5796    22.7656     2.4650 
  2976.200    90.4922    56.5938     1.5081    23.2891     2.4635 
  2976.400    91.2344    57.8164     1.5601    23.5403     2.4680 
  2976.600    91.7539    58.9180     1.6929    23.7188     2.4709 
  2976.800    92.5742    59.4570     1.8584    24.4141     2.4649 
  2977.000    93.6602    60.6094     2.0117    25.3516     2.4554 
  2977.200    92.8672    63.6875     2.1135    25.2930     2.4663 
  2977.400    87.1250    67.9102     2.1519    22.8672     2.5271 
  2977.600    77.6250    67.1875     2.1289    18.6211     2.6104 
  2977.800    73.5430    56.2500     2.0476    16.6467     2.6165 
  2978.000    78.3750    44.6250     1.8862    17.5820     2.5745 
  2978.200    86.6250    42.6562     1.6719    20.0664     2.5269 
  2978.400    90.8516    49.6875     1.5303    22.3633     2.4915 
  2978.600    91.9961    54.4844     1.4893    23.6367     2.4724 
  2978.800    91.8828    54.6641     1.5151    23.9641     2.4619 
