   DEPTH	DT	   GR  	      ILD 	NPHI 	    RHOB
  2972.000    89.9961    63.5859     1.7535    20.7539     2.4285 
  2972.200    90.6750    63.7070     1.7444    20.0742     2.4580 
  2972.400    90.3203    62.1680     1.7496    19.9055     2.4810 
  2972.600    89.5938    61.8867     1.7558    20.4766     2.4658 
  2972.800    90.5156    65.0625     1.7484    21.7070     2.4428 
  2973.000    94.0234    67.8633     1.7531    21.4922     2.4487 
  2973.200    96.3438    64.5000     1.8694    21.0134     2.4574 
  2973.400    96.0039    54.2500     2.0923    21.2070     2.4532 
  2973.600    92.7812    44.6875     2.3945    21.7852     2.4569 
  2973.800    82.9375    37.1875     2.6675    22.2617     2.4683 
  2974.000    72.8125    35.1758     2.7131    22.5786     2.5129 
  2974.200    65.5625    35.9453     2.5764    21.3633     2.5710 
  2974.400    68.6875    47.5625     2.3904    16.5625     2.6470 
  2974.600    85.0625    62.8750     2.3057    12.6445     2.6791 
  2974.800    97.6250    75.6250     2.1792    15.4375     2.6338 
  2975.000   102.9844    84.6875     1.9900    21.5129     2.5346 
  2975.200   103.5781    90.5195     1.8669    25.2812     2.4451 
  2975.400   101.8945    87.6250     1.8818    27.0703     2.4094 
  2975.600    98.3281    78.3125     2.0039    26.9219     2.3743 
  2975.800    96.7725    79.7500     2.1541    24.9648     2.3838 
  2976.000    96.3203    91.0000     2.3604    24.5117     2.4049 
  2976.200    93.7305    96.0352     2.6201    24.9492     2.4105 
  2976.400    88.8750    93.0000     2.8796    23.0508     2.4079 
  2976.600    83.5625    90.4883     3.0515    20.7812     2.4123 
  2976.800    83.5820    90.5664     2.9893    19.6523     2.4314 
  2977.000    89.0586    88.3750     2.7683    20.2930     2.4291 
  2977.200    92.3555    83.3789     2.6033    21.5938     2.4175 
  2977.400    94.1992    82.2422     2.5330    22.3672     2.4155 
  2977.600    95.0273    84.1680     2.5122    22.8782     2.4233 
  2977.800    93.9414    83.7695     2.5486    22.9006     2.4325 
  2978.000    89.7500    79.9375     2.7500    22.0547     2.4425 
  2978.200    82.8125    76.6719     3.2227    19.1523     2.4388 
